OBJECTID,Borough,Holding_Name,Address,Post_Code,UPRN,Easting,Northing
106,Richmond Upon Thames,TWICKENHAM,30 South Road ,TW2 5NT,,514945.0,171978.0
107,Sutton,WALLINGTON,19 Belmont Road,SM6 8TE,,529015.0,164222.0
108,Southwark,UNION STREET (HQ) ,"169 Union St, Southwark",SE1 0LL,,532066.0,180012.0
109,Lambeth,OLD HQ (Main building and Rear Block),"8 Albert Embankment, Lambeth",SE1 7SP,,530523.0,178781.0
110,Merton,MERTON RCC,61 Morden Road,SW19 3XP,,525871.0,169471.0
111,Southwark,GROTTO PLACE,"Sawyer Street, Southwark",SE1 0EG,,532104.0,179851.0
112,Hillingdon,RUSLIP WORKSHOPS,800 Field End Road,HA4 0QH,,512393.0,185471.0
113,Kensington & Chelsea,DISUSED TOILETS,206 Brompton Road,SW3 2BQ,,527209.0,179185.0
114,Haringey,FORMER BOUNDS GREEN FIRE STATION,"69 Bounds Green Road, Haringey",N22 8DG,,530231.0,190990.0
115,Southwark,GALLIARD CAR PARK (28 SPACES),"98-118 Southwark Bridge Road, Southwark",SE1 0BX,,532087.0,179774.0
116,Croydon,PURLEY WAY STORES,"Unit 3, 40-44 Purley Way, Purley",CR0 3JP,,530800.0,166723.0
117,Croydon,PEGASUS SITE,"Unit 1, Pegasus Road, Croydon",,,,
